Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Denmark,East Denmark,DK-DK2,117.68,183.37,84.58,82.71,entsoe.eu,false,
2022-01-01 01:00:00,Denmark,East Denmark,DK-DK2,106.66,172.35,85.27,85.02,entsoe.eu,false,
2022-01-01 02:00:00,Denmark,East Denmark,DK-DK2,116.29,187.28,84.13,83.48,entsoe.eu,false,
2022-01-01 03:00:00,Denmark,East Denmark,DK-DK2,135.79,209.92,82.19,79.82,entsoe.eu,false,
2022-01-01 04:00:00,Denmark,East Denmark,DK-DK2,141.81,212.5,81.14,79.18,entsoe.eu,false,
2022-01-01 05:00:00,Denmark,East Denmark,DK-DK2,137.87,213.08,81.86,79.63,entsoe.eu,false,
2022-01-01 06:00:00,Denmark,East Denmark,DK-DK2,142.97,219.49,81.51,78.6,entsoe.eu,false,
2022-01-01 07:00:00,Denmark,East Denmark,DK-DK2,138.36,226.82,81.9,79.56,entsoe.eu,false,
2022-01-01 08:00:00,Denmark,East Denmark,DK-DK2,145.99,233.3,80.89,77.19,entsoe.eu,false,
2022-01-01 09:00:00,Denmark,East Denmark,DK-DK2,111.39,191.81,84.85,73.63,entsoe.eu,false,
2022-01-01 10:00:00,Denmark,East Denmark,DK-DK2,157.25,254.06,80.0,72.83,entsoe.eu,false,
2022-01-01 11:00:00,Denmark,East Denmark,DK-DK2,179.12,281.75,76.84,68.88,entsoe.eu,false,
2022-01-01 12:00:00,Denmark,East Denmark,DK-DK2,196.09,296.4,74.73,67.18,entsoe.eu,false,
2022-01-01 13:00:00,Denmark,East Denmark,DK-DK2,205.06,310.62,74.55,66.25,entsoe.eu,false,
2022-01-01 14:00:00,Denmark,East Denmark,DK-DK2,253.78,370.1,68.84,63.83,entsoe.eu,false,
2022-01-01 15:00:00,Denmark,East Denmark,DK-DK2,250.91,357.98,70.41,65.19,entsoe.eu,false,
2022-01-01 16:00:00,Denmark,East Denmark,DK-DK2,239.29,336.05,71.25,67.24,entsoe.eu,false,
2022-01-01 17:00:00,Denmark,East Denmark,DK-DK2,211.95,306.66,74.36,71.97,entsoe.eu,false,
2022-01-01 18:00:00,Denmark,East Denmark,DK-DK2,164.62,248.98,79.25,78.05,entsoe.eu,false,
2022-01-01 19:00:00,Denmark,East Denmark,DK-DK2,121.98,193.11,83.57,82.97,entsoe.eu,false,
2022-01-01 20:00:00,Denmark,East Denmark,DK-DK2,100.58,169.52,86.1,85.84,entsoe.eu,false,
2022-01-01 21:00:00,Denmark,East Denmark,DK-DK2,98.9,165.72,86.31,85.85,entsoe.eu,false,
2022-01-01 22:00:00,Denmark,East Denmark,DK-DK2,88.86,150.35,87.72,84.07,entsoe.eu,false,
2022-01-01 23:00:00,Denmark,East Denmark,DK-DK2,82.52,139.06,88.62,82.6,entsoe.eu,false,
2022-01-02 00:00:00,Denmark,East Denmark,DK-DK2,83.7,138.94,88.43,83.1,entsoe.eu,false,
